,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220914,2022,09,14,1,하준석,어플 리뷰 남긴적 손에 꼽는데 이건 어플이 아니라 사진임. 데이터 낭비 말고 설치 취소 추천드림 로그인 화면에서 화면이 넘어가지가 않음 로그인 누르면 그냥 이미지만 움직이고 로그인이 안됨 별 한 개도 아까운 경지 어플 자체가 장애인데 문의하기나 고객센터도 없음 홈페이지에서 계정 탈퇴해야겠음
1,2,20220911,2022,09,11,1,Hyeonjeong Jeong,예전에 몇번 잘 썼었는데..오랜만에 들어가려니 자꾸 업데이트하면 쿠폰 준다는 팝업이 뒤로가기 눌러도 꺼지질않아서 업데이트했는데ㅎ 앱 자체에 들어가지질않네요 아무리기다려도.. 젤 첫화면에서 멈춤 상태ㅠ이럴까봐 업뎃하기싫었는데 어플 어떻게좀 해주세요
2,3,20220914,2022,09,14,2,Melly 4885,로딩창 넘어가는건 해결이 됐는데 아예 메인화면이 안뜨네요...? ㅜㅜ 흰색화면으로만 뜨고 컨텐츠며 구매하러 가는거며 아무것도 안떠요..ㅜㅜ 이게 수정하기가 힘든가봐요 아직 흰화면까지만 넘어가지고 변하질 않네요
3,4,20220912,2022,09,12,1,황은영,"앱 깔고 설치를 진짜 몇번을 하는건지... 핸드폰을 껐다가 끄기를 몇번을 하는건지... 저도 예쁘게 살고 싶은데, 어려울 것 같네요 ㅠ ㅠ"
4,5,20190816,2019,08,16,2,Google 사용자,"물건도 매거진같은 컨텐츠도 다 좋아요. 근데 어플 안정성이 너무 떨어지네요. 보관함에 담기를 누르면 홈으로 돌아가고, 검색을 하면 연경프로그램 선택창이 나오고..잘되다가도 오래 사용하면 꼭 오류나요. 한번에 길게 볼 수가 없어서 진짜 짜증나요. 맨날 잘 보다가 어플끄고 다시 시작하고...어케좀해주세요"
5,6,20220910,2022,09,10,1,조조,들어가지지가 않아요 불안정하긴하네요 삭제후 재설치했는데도 똑같고 데이터 삭제해도 똑같아요 첫화면애서 넘어가질 않네요
6,7,20220915,2022,09,15,1,로미로미,가격 바를 못움직임 ㅡㅡ 가격 바를 움직이려고 슬라이드 하면 브랜드로 자꾸 넘어감 이걸 어플이라고 만든거임? 별 하나도 아깝고 집꾸미기가 유투브 구독자수가 더 많음에도 어플은 대부분 오늘의집 쓰는 이유가 있음 ㅡㅡ 비슷한 어플이래서 깔았다가 어이없어서 바로 지움 개발자들 월급이 아까움 ㅡㅡ
7,8,20220917,2022,09,17,1,김미라,업댓 이후 앱이 실행되지 않는다... 어플이 열리질 않아요!!! 뭐가 해결 되고 우찌고 하더니 여전히 안되네요 사람데꼬 이제 장난고마안 짜증나
8,9,20220911,2022,09,11,1,임선미,앱 실행이 안되요 오늘까지 할인쿠폰 있어서 이것저것 많이 장바구니에 담고있었는데 결제할려다 꺼지고 계속 앱이 실행이 안되고있습니다 삭제했다 다시 다운 받아도 안되고 이게 뭡니까..할인이 너무 쌔게 들어가서 써주기싫으신건지 뭔지 ; 지금 저만 앱 실행이 안되고 있는건가요?
9,10,20220913,2022,09,13,2,니슈,지금 앱을 다시깔고 업데이트해도 앱이 안열리네요.. 쿠폰 유효기간 다되가는데 빨리 해결부탁드려요!
10,11,20220917,2022,09,17,1,김김,즐겨 사용중인 앱인데 갑자기 연결이 안되요.몇일동안요.주문건 확인도 해야는데 답답해 미치긋네요 ㅠ
11,12,20220929,2022,09,29,1,min KANG,업데이트 하라해서했더니 계속 본인인증하라 나오고 넘어가지도 않고 짜증나서 어플 삭제합니다
12,13,20190810,2019,08,10,2,Google 사용자,답이 안나오는 앱 안정성과 UX설계. 컨텐츠나 상품은 좋은데 어플리케이션이 너무 불안정하고 불편해서 사용하기 힘들어요. 심지어 단순한 보관하기 기능도 잘 작동되지 않고 그 외의 정리 삭제 UI도 한번에 인지하기 힘들어요.; 버튼 작동이 안되어서 구매 못하긴 살다살다 처음..앱 대대적으로 UI 디자인 다시 해야할듯..
13,14,20220815,2022,08,15,3,S.S Lim,몇번을 지웠다 깔었는데 네이버를 통한 로그인이 안되유 잘되던게 갑자기 안되더니 쭉안되네요 ㅜㅜ
14,15,20220912,2022,09,12,1,최지혜,앱 실행이 안 됩니다 엡데이트 이후 계속 첫 화면에서 고정되어 있네요
15,16,20220627,2022,06,27,1,Achilles Lee,사용해 본 인테리어 관련 서비스 중에서 최악입니다. 취소가 사실상 불가능하고 배송 일정도 계속 바뀌며 대략 언제 받을 수 있는지도 트래킹이 불가능함. 개별 업체에서는 연락도 주지 않아서 무한정 기다려야 하고 플랫폼에서 대체 뭘 해주는지 알 수가 없음.
16,17,20220808,2022,08,08,1,윤희수,네이버계정으로 연결해서 사용하고 있었는데 갑자기 로그인이 풀린 후로 다시 연결이 안돼요;
17,18,20191125,2019,11,25,1,Google 사용자,별 하나도 아까움!! 쇼핑몰사이트가 같은물건도 가격이 들쑥날쑥하고 취소하려면 게시판에 취소신청해야 취소가 되는 시스템임!! 더 골때리는건 같은물건 색깔별로 2개 사고 한번에 결재 했는데...취소요청은 각각 2번 해줘야 한다는거!! 카드로 결재했는데 꼬박꼬박 환불계좌도 입력해야하고!! 사기아닌가 싶을정도로 구림!!
18,19,20220813,2022,08,13,2,Kyoungju Lee,장바구니에 물품을 여러개 담고 한꺼번에 결제하고싶어도 들어가보면 상품이 0개로 떠서 못해요. 고객센터 문의했더니 캡처 안해서 도와줄 수 없다는 답변을..
19,20,20220911,2022,09,11,1,이설아,에러인가요. 배송여부확인급한데 앱이들어가지질않네요
