,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20210424,2021,04,24,3,깨몬,별점 3개준이유: 모든 상품에 배송비는 기본 옵션이여서 예로 5000원짜리를 사면 3000원 배송비가 붇는다. 그래서 다른 상품을 묶음이라는 서비스가 있는데 문제는 같은 브랜드끼리 묶음이여야함. 배송비 안붇게 사려면 약 2만원 이상의 제품을 사야됨. 그럼으로 왠만한 1원미만 초반때 제품은 다른데 잘 찾아보고 싸게 혹은 배송비 안붇이는데에서 사는게 이득임. 묶음배송(같은브랜드만 가능)이면 배송비 3000원으로 퉁칠 수 있지만 여러 브랜드 상품을 산다면 배송비가 제품하나씩 붇어 부담스러움. 다른 사람들 리뷰보면 배송비 있는데도 꼼꼼하게 배송하지 못한 경우에 기스가 난것도 꽤 봤었다. 그리고 미입점 된것들도 은근 있음. 이뻐서 사고싶은것들은 죄다 미입점 ㄷㄷㄷㄷ 그래도 뭐 고민하다 앱 다운받아 쓰니 ui도 깔끔해 ux도 나름 신경쓴 부분이 있어 잘 쓰고있지만 앞에서 말한게 쫌 그시기해서 리뷰남겨봄.
1,2,20220904,2022,09,04,3,Freddie CHANG,"희망 배송일 선택관련, 월 단위로 확대가 필요하다 생각됩니다. 현재는 한 달 단위로 되어 있는 듯 해 이것 때문에 주문 완료를 할 수가 없습니다(예, 금일 현재 9월 5(월)일, 어제(일) 부터 구매 시도 중, 이사 날짜 때문에 희망 배송일을 10월 1(토)일로 해야하는데 10월 1을 선택할 수가 없음). 이럴 경우 어찌하란 옵션이 있으면 좋을 듯 합니다??? 그리고 희망배송일을 미리 확인해 볼 수 있도록 주문입력 첫 화면에 노출될 수 있도록 우선 순위를 주었으면 합니다. 다른 입력사항 다 입력하고 이것 때문에 주문완료 못해 빠져나와 다시 주문입력 화면으로 들어가면 처음부터 모든 사항을 재 입력, 재 입력 반복되는 불편함이 있네요... 첫 구매시도에 아직도 구매성공 못하고 있는 중...?...!"
2,3,20220824,2022,08,24,5,KIT CH,제 방이 진짜 완전 구조가 해괴한데..질문하는 곳 에서 물어보니까 다들 도와주셔서 너무 감사했어요..! 오늘의 집 맨날 유튜브로만 보다가 인테리어에 관심이 생겨서 앱도 깔아봤는데 할인을 막 88% 막 그렇게 통 크게(?) 할인 해주시는 것두 있어서 다른 앱 보다 싸게 살 수 있고...! 너무 좋아요 진짜ㅠ 오늘의 집에 있는 사진들 보면서 대리만족 하는 맛도 있더라구요ㅎㅎ 너무 좋은 앱 같아요♥ 항상 감사해요♥
3,4,20221006,2022,10,06,4,bora kim,최근에 어플 왜 이런가요? 하단 쇼핑 이시시공 마이페이지 이런 메뉴랑 실제 내용이랑 맞지를 않고.. 오늘은 나의 페이지 누르면 계속 이사시공 내용이보여서 제가 살 문건배송현황이랑 스크랩 한 것들을 확인할 수가 없네요. 어플이 왜 이렇게 된건가요
4,5,20220929,2022,09,29,4,SOYE,"요즘 집꾸미기에 없으면 알 될 앱이죠~! 최근에 집 관련말고, 음식관련 숏폼도 올라오던데, 다양성은 존중하지만, 예전처럼 인테리어만 집중하고 싶을때 아쉬워요"
5,6,20220922,2022,09,22,5,장혜진,애용하고 있어요ㅎㅎ 근데 가끔 가격이 그렇게 저렴하진 않다는 생각이 들어요~그래도 유용하고 예쁜 것들이 많고 정보도 많아서 인테리어할때 도움 많이 받았어요~!
6,7,20221006,2022,10,06,5,H.Y C,"여러 제품을 구매했는데 대부분 만족할 만한 제품들이었어요 디자인 독특하거나 퀄리티가 뛰어나다던가,,암튼 자주 이용할거같아요"
7,8,20220914,2022,09,14,1,Rara Cha,"잘 사용하다가 정말 불편해서 평가남겨야겠다싶어 써요. 꾸준히 이용중인데요. 하도 광고성 푸시가 자주떠서 모든 알림설정을 차단해놨어요. 그런데 앱 들어가서 이용중에도 계속 푸시알람을 설정해주시면~ 라던가 배너? 뭐라고하는지 정확히 모르겠는데 그외에도 보지않기, 닫기 등 자꾸 눌러줘야되서 짜증나요. 사진이나 제품 보다가도 갑자기 뜨는데ㅋㅋ 쇼핑중에 광고떠서 닫기 누르다가 여러번 눌러 걍 꺼버린적도 많네요. 한달보지않기 이런건없는지;; 인테리어 관심 많아서 거의 매일들어가다시피 하는데, 광고 자주 때리는거 진짜 빡쳐요. 인테리어 관심 끄고 앱을 삭제해야하나.. 오히려 핀터레스트앱이 인테리어에 더 도움 많이된다 느낄정도ㅋㅋ 차단 눌렀으니 걍 차단하게 해줘요. 계속 풀라고 알람 띄우지좀 말구요ㅠㅠ 게다가 요새보면 인테리어와 무관한 사진도 너무 많음ㅋㅋㅡㅡ"
8,9,20220912,2022,09,12,5,김하진,"1. 일단 깔끔하고 2. 앱 속도도 빠르고 3. 이벤트도 많이 하고 4. 가독성 너무좋고 5. 리뷰 시스템이 잘 되어있어서 리뷰도 많고 보기 편하고 6. 특가/ 쿠폰 다 떠서 가격비교도 좋고 7. 잘 찾으면 네이버쇼핑보다 최저사도 많고 8. 오늘의집 단독 싱품도 있어서 경쟁력있고 9. 카테고리별로 너무 잘 모아놓았고 10. 오늘의 식탁, 식물, 인테리어 시공, 집들이 등 그냥 모든 것이 너무 잘 되어있음 오늘의 집 앱 디자인팀하고 서버 담당팀 및 수많은 직원들에게 찬사를 보내고 싶음. 수많은 사람이 받은 쇼핑몰 앱 중에서도 4.8이라는 고평점을 받을 자격이 있음."
9,10,20220913,2022,09,13,4,권소진,어느 순간부터 이벤트 페이지 등에 들어가면 아무 내용도 보이지 않습니다. 업데이트 안해서 그런가 싶어 업데이트 진행 했으나 동일한 문제가 발생하네요 개선 부탁 드립니다
10,11,20220908,2022,09,08,5,김지현,"너무 좋은데, 주문/배송조회 화면에서 검색이 되면 좋겠습니다. 예전에 샀던 제품들의 구매옵션 구매시기 사이즈 등을 찾기 위해 자주 들어가는데, 매번 스크롤을 내려 찾아야 하고 구매이력이 많아질 수록 찾기 어려워 불편합니다"
11,12,20220727,2022,07,27,5,윤서,오늘의 집 정말...애용하는 어플이에요. 항상 어플 평가 달아달라고 하는데 안달고 미뤘던건 너무 애정하다보니 ㅎㅎ뭐랄까 그래서 더 하기 어렵달까. 이사를 다니면서 집 세군데를 여기서 많이 사서 꾸몄어요. 점점 어플이 발전하는게 느껴지는게 배송알림부터 없던 기능도 생기는거 같고..움 배송 속도 역시 빨라지는 거 같아요. 혼수만 풀로 세번을 마련해본 저로선 인터넷 쇼핑 특성상 느긋하게 기다리는 경향이 있는데 최근 한달 오집에서 한 삼백정도의 소비는 어마어마한 단기간 배송에 되려 놀랐거든요. 거기에 배송알림 서비스까지;; 되게 좋아졌구나 했어요. 그래서 이젠 뭐 아예 단독주택으로 이사한 김에 하루에도 수십번씩 드나들고 있네요. 앞으로도 더 번창하시길 ㅎㅎㅎ
12,13,20220809,2022,08,09,2,hee hee,"인테리어 참고하기에 좋아요. 쿠팡이나 네이버 최저가보다 저렴한 상품도 많아서 합리적인 쇼핑이 가능합니다. 그러나 할인을 달고 광고하는 제품들이 의외로 저렴하지 않아요. 할인이라며 홍보하는데 평소랑 같은 가격이거나, '오세일'이라면서 세일처럼 홍보하더니 세일 끝나고 가격이 더 떨어지는 경우가 있었습니다. 물론 정말 할인하는 양심적인 업체들도 있었어요. 그러나 평소와같은 가격을 할인하는 것처럼 속이는 업체, 할인이 끝나고 가격을 더 내리는 업체를 겪으니 오늘의집 광고의 신뢰도는 떨어졌습니다. 할인한다고 카톡 광고가 와도, 앱에서 할인 배너가 떠도 보지않고 지나치게 되네요."
13,14,20220818,2022,08,18,4,그럼에도불구하고,오늘의집을 이용하면서 느꼈던점은 가끔 상품 페이지를 보다가 뒤로가기를 하면 홈화면으로 나가지는 버그때문에 불편한점도 있지만 이 부분만 빼면 이용자의 편의성에 신경을 썼구나 라는 느낌을 받아서 기분이 좋고 인테리어할때 참고가 많이 되는 어플이에요
14,15,20220903,2022,09,03,1,정정은,오시즌위크 쿠폰 진짜...ㅋㅋㅋㅋㅋㅋ 사용량기준으로 발급하던가 그냥 이벤트기간내 모두가 사용할수있게 해놨으면 기분좋게 이용했을텐데 선착순으로해놔가지고 무슨 바로 눌러도 다 소진되었다고 매번 그렇게 뜸. 사람 가지고 노는것도아니고 기분나빠서 안할랍니다
15,16,20220802,2022,08,02,1,Achilles Lee,"리뷰에 배송이 빠르다고 해서 구매했지만 구매한 2건의 제품 모두 배송 누락으로 한달 이상을 기다렸습니다. 심지어 배송되지 않은 제품에 대해 문의하고 조치를 약속 받았는데도, 상담 후 구매확정으로 돌려버리고 또다시 누락되는 황당한 경험까지 했습니다. 다양한 사용자들이 올리는 인테리어 사진이나 커뮤니티는 훌륭하지만 여기서 제품을 구매하시는 건 비추천합니다."
16,17,20220723,2022,07,23,5,주ooxoo-4,"좋네요. 더 많은 디자인이 조금 아쉽습니다만, 다른 싸이트와 비교시 같은 재품경우 가격이 착한편 같아요. 몇개 주문하진 않았지만, 제가 원하는 재품 경우 타 싸이트와 가격비교해봤거든요. 정직한 편이더군요. 오늘집 번창하세염~^^"
17,18,20221009,2022,10,09,5,신지선,"인테리어하는데 참고도 많이 되고, 품목별로 깔끔하게 분류되어 찾는 데 많이 도움됨"
18,19,20220503,2022,05,03,4,이한나,"여러가지 필요한걸 카테고리별로 잘 나누어져 있어 좋아요. 이사하고 나서 여러가지 잘 구매했어요. 가격이나 쿠폰 사용 이런 면은 타 사이트 보다는 엄청 좋다는 생각은 안들어요. 의외로 많이 없다고 크껴지네요. 그래도 원하는 사이즈를 찾을 수 있는 점, 내가 원하는 물건을 쉽게 찾을 수 있다는 점, 다른곳 인테리어를 참고할 수 있기 때문에 계속 사용해요."
19,20,20220827,2022,08,27,5,채원,"다좋은데 색깔,너비,폭,길이 등을 구분할수있는 필터가 있음 좋겠어요 있다네요 역시 오늘의집짱"
20,21,20220808,2022,08,08,1,김은선,인테리어 소품 종류도 많고 보기 상당히 편한 건 너무너무 좋습니다 엄청 맘에 들었어요 근데 안에 업체들 속터지는 일처리... 팔 때는 총알 배송해요 반대 상황은 알아서들 생각하세요ㅎㅎ
21,22,20220817,2022,08,17,5,서정혜,"깔끔히 정리, 한 눈에 딱 보여 재구매 각에요^^ 계절별, 종류별로 정리하니 이름표없어도 찾기 너무 좋아요."
22,23,20220908,2022,09,08,5,Charlotte Amy,"오늘의집 보면서 항상 제방 인테리어를 구성하는데 있어 많은 영감을 얻고있습니다 싹 교체할 예정인데 도움이 많이되고, 할인상품 또한 합리적이어서 매우 만족스러워요"
23,24,20220926,2022,09,26,5,김보윤,"종종 타웹사이트보다 저렴하게 나올때가 많은데, 이 점 너무 칭찬합니다 ㅎㅎ 극강으로 싸게 나오네요 이런 평 쓰지 않는데 감동받아 글 남겨요 오늘의집 앞으로도 열일부탁합니다 !!"
24,25,20220811,2022,08,11,5,오마이걸좋아짱이야,이것저것 알아보기 쉽게 앱이 구성되어 있어서 너무 좋았어요 앱 디자인도 깔끔하게 되어있고 귀여운 그림도 마음에 들고 사용자들이 어떻게 꾸며놓고 사는지 사진과 설명 제품 리뷰 등등 아주 좋았습니다!!!
25,26,20220827,2022,08,27,5,박경나,"인테리어 참고하는데 너무 좋고, 편리하게 사용할 수 있는 제품들이 많아서 맘에 들어요! 자주 애용하고 있습니다:)"
