,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20211101,2021,11,01,5,min,일단 사용법이 직관적이고 간편합니다. 기본 무료 상태에서도 벽의 길이를 밀리미터 단위로 설정가능하고 도안을 저장할 수 있습니다. 다만 도안을 캡쳐하거나 이미지로 내보내서 공유 혹은 갤러리에 저장하려면 5달러의 유료 업그레이드가 필요합니다. 아직 가구의 종류가 부족해서 아쉬운 부분이 있지만 기본적인 공간을 구상하는데 큰 도움이 됩니다.
1,2,20220802,2022,08,02,5,김경미,초보자들도 그리기 편해서 좋아요. 가로세로 길이도 표기되는 기능이 있으면 좋을것 같아요~
2,3,20190605,2019,06,05,4,Google 사용자,좋긴한데 3D로 볼때 움직이는게 힘들어요..그래서 보기가 어렵고 높이조절이 잘안되서 힘드네요..그래도 이만한 어플은 없는것같아요 대단합니다!
3,4,20190710,2019,07,10,4,Google 사용자,"다른프로그램들 여러개 해봤는데 다너무 어렵더라구요, 근데 이건 쉬워서 금방금방 그렸어요, 지붕은 없지만 3d로도 볼수있고 잘쓰고 있어요. 감사합니당~!"
4,5,20190625,2019,06,25,5,Google 사용자,"이사 전에 유용하게 썼습니다ㅎ 소품, 가구들이 많지는 않지만 적당히 활용하면 어느정도 구현 가능해서 예상배치 여러 안으로 했어서, 당일에 배치 할 때 순식간에 했어요!"
5,6,20200408,2020,04,08,3,Google 사용자,다 좋은데 같은사람이 다른폰으로쓰고 싶어서 (동일구글계정)으로 쓰는건 안되나요 결제햇는데 유료기능은 사용이 안되고 결젤 새로하려니 이미 보유햇다고만 나오네요
6,7,20190825,2019,08,25,5,Google 사용자,3d가 좋다. 다만 저장할때 결제 해야하는데 정기 결제인지 최초구매 한번으로 계석 쓸 수 있는지 모르겠다
7,8,20220819,2022,08,19,5,홍진영,방 하나의 시뮬레이션은 완벽에 가까운 설정환경을 제공합니다.
8,9,20220827,2022,08,27,5,강찬영,이 앱 개지립니다 방에 가구들 길이 재보고 방구조 바꾸기전에 이걸로 먼저 해보세요
9,10,20190615,2019,06,15,5,Google 사용자,직관적이고 심플하지만 나름 세심한 구현이 가능하네요.
10,11,20210915,2021,09,15,5,김강미,사용하기 엄청 편해요!! 3d로도 볼수있어서 많은 도움이 되네요
