,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220928,2022,09,28,3,Othilia Cho,"잘 쓰고 있었는데, 조금 전 업데이트 하래서 했더니 구매가 안돼요..ㅠㅠ 결제하기 누르면 문제가 발생했다고 장바구니로 돌아가라는데 계속적으로 같은 루틴 무한 반복...ㅠㅠ 앱 껐다 켜보고 로그아웃했다 다시 로그인도 해보고 폰 리부팅해도 마찬가지..ㅠㅠ 저도 미쳤죠.. 이걸 도대체 몇 십 번을 했는지 ..ㅠㅠ 구매하지 말라는거죠??? ㅠㅠ"
1,2,20220815,2022,08,15,1,강수연,"업데이트 후 로그인이 풀림. 아이디 비번이 생각나지 않아 휴대폰 인증 로그인하려니 휴대폰 번호 입력되어 있는데도 자꾸 번호 입력하라는 메시지만 뜨고 코드 안옴. 결국 메일함 다 뒤져서 가입한 멜주소 알아내서 로그인하니 위스리스트가 싹다 사라짐. 위시리스트 만드는데 든 시간과 노력, 아이디 비번 찾겠다고 고생하며 빡친거 생각하면 1점도 아깝다"
2,3,20220912,2022,09,12,5,정주윤,플레너는 웹에서만 작동하고 정작 이케아 앱에선 작동하지 않아 불편합니다. 하지만 예전에 비해 동작속도가 크게 개선되어 전체적으로는 편리합니다.
3,4,20220906,2022,09,06,4,카페모카크림듬뿍,이케아 구입을 온라인에서 할 수 있어 좋아요.. 단 일부 품목이 추가 됐을때 배송비가 많이 오르는데 어떤 제품이 그러한지 쉽게 찾을 수 있으면 좋겠네요..3000원 짜리 하나가 근처 매장에 없어서인지 배송비가 25000원였는데..쉽게 제외할 수 있었음 좋겠네요..
4,5,20220804,2022,08,04,5,이언정,한번씩 느리고 튕기고 안눌리는거 빼고 잘쓰고 있어요 배송넘어가기전에 한번씩 안넘어가는데 재고가 없어서 그런듯 다른 매장으로 하면 넘어가더라구요 실시간 재고가 안맞는거 같아요
5,6,20220929,2022,09,29,1,양지호,"업데이트 후 주문내역도 안 뜨고, 있는 제품 검색했는데 안 나오고 하는 등 자잘한 오류가 너무 많아졌어요"
6,7,20220926,2022,09,26,5,김민정,품질도 괜찮고 다양하고 좋아요 ~~^^ 온라인몰 구경하는 재미도 쏠쏠하네요
7,8,20220923,2022,09,23,1,제이든,별한개도 아까움 비밀번호 찾기도 안되고 일회용 코드로 로그인도 메일이나 문자가 안와서 할수가 없음 인내심테스트임
8,9,20220808,2022,08,08,1,Soomin Lee,제품수령방법 선택하기 이후에 계속 문제가 발행했으니 장바구니로 돌아가서 다시 시도하라고하는데.. 도돌이표네요.. 이거 앱으로 결재가 가능한게 맞긴 하는지??
9,10,20220922,2022,09,22,1,주세영,"앱 삭제합니다. 제품에 대한 정보가 너무없어서 매장가서 사라는 말같네요. 한샘, 일룸등 국내제품으로 사겠습니다,"
